Priorité,Délai,N°,Action,Page / Cible,Mot-clé principal,Effort,Impact,KPI / Seuil de succès,Cause / Pourquoi,Statut,Date dernier update,Notes
EN COURS partiel,Action partiellement adressée,,,,,,,,,,,
VÉRIFIÉ J+0 (headings),Headings appliqués et confirmés,,,,,,,,,,,
VÉRIFIÉ J+0 (body complet),Body 100% EN appliqué et confirmé (Rank Math sidebar à part),,,,,,,,,,,
VÉRIFIÉ J+0 (complet),Headings + body + Rank Math tout en EN,,,,,,,,,,,
MESURÉ J+14,KPI mesuré 14 jours après modification,,,,,,,,,,,
À ARBITRER,Décision stratégique attendue de Michael,,,,,,,,,,,
À RÉCOLTER,Donnée manquante à compiler,,,,,,,,,,,
TERMINÉ,Action complètement bouclée + KPI atteint,,,,,,,,,,,
,,,,,,,,,,,,
META,,,,,,,,,,,,
Source de vérité actuelle,v5,,,,,,,,,,,
Sheets précédentes obsolètes,v1 v2 v3 v4 (à archiver dans Drive),,,,,,,,,,,
Pourquoi v5 et pas update v4 in-place,Drive MCP create_file ne supporte pas update existant + gws OAuth refresh_token revoked,,,,,,,,,,,
Comment supprimer ce chaînage v1→v5,Lancer 'gws auth login' dans terminal Windows une fois - tokens reset frais - cellules updatables in-place via Sheets API,,,,,,,,,,,
Documents associés,content/audits/schoolswp-90j-perf/2026-05-12/ (rapport+patch headings) + content/audits/flyingpress-wp-rocket-comparison-en/2026-05-12/ (snapshots + payloads + scripts + state-after-v2.json),,,,,,,,,,,
Routine J+14 schedulée,trig_01Wr4xAcVpq4TPK9mUoSxWUn fire 2026-05-26 07:00 UTC (09h00 Paris) - email récap + Drive update,,,,,,,,,,,
Scripts artefacts Action #1,tools/scripts/wp_push_flyingpress_body_343156.py + wp_diagnose_flyingpress_unmatched.py + wp_extract_flyingpress_fr_blocks.py,,,,,,,,,,,
