Nom d'affichage;Slug;Catégorie;Version;Type/Statut;Mise à Jour Disponible;Description / Utilité schoolsWP
WP Social Ninja;wp-social-reviews;Réseaux Sociaux & Liens;4.2.1;Actif;4.2.2;Agrégateur de témoignages clients et de réseaux sociaux (Gratuit)
WP Social Ninja Pro;wp-social-ninja-pro;Réseaux Sociaux & Liens;4.2.1;Actif;Non;Intégration multi-plateformes de avis (Google, FB, Yelp) et chats
Admin Site Enhancements (ASE) PRO;admin-site-enhancements-pro;Utilitaires & Sécurité;8.8.0;Actif;Non;Le couteau suisse d'optimisation de l'administration WordPress
Cookie Law Info (GDPR Consent);cookie-law-info;Utilitaires & Sécurité;3.5.0;Actif;Non;Gestionnaire de consentement aux cookies et conformité RGPD
Loco Translate;loco-translate;Utilitaires & Sécurité;2.8.4;Actif;Non;Traduction d'extensions et thèmes directement depuis l'administration
Ninja Tables;ninja-tables;Utilitaires & Sécurité;5.2.8;Actif;Non;Créateur de tableaux de données réactifs et performants (Gratuit)
Ninja Tables Pro;ninja-tables-pro;Utilitaires & Sécurité;5.2.8;Actif;Non;Tableaux connectés aux bases de données, requêtes customs et imports
Polylang;polylang;Utilitaires & Sécurité;3.8.4;Actif;Non;Gestion fine du multilinguisme sur les pages, articles et taxonomies
Safe SVG;safe-svg;Utilitaires & Sécurité;2.4.0;Actif;Non;Permet le téléversement sécurisé de fichiers vectoriels SVG
SecuPress Pro;secupress-pro;Utilitaires & Sécurité;2.6.1;Actif;Non;Scanner de sécurité complet, pare-feu et protection du site
Traduire Sans Migraine;traduire-sans-migraine;Utilitaires & Sécurité;2.4.33;Actif;Non;Outil de traduction automatique intelligent pour articles WordPress
NovaMira Core;novamira;Gestion Technique & Monitoring;1.3.0;Actif;Non;Cerveau d'intégration technique et d'optimisation
NovaMira Pro;novamira-pro;Gestion Technique & Monitoring;1.1.1;Actif;Non;Fonctionnalités avancées de contrôle technique et d'API
WP Health (WP-Umbrella);wp-health;Gestion Technique & Monitoring;2.24.2;Actif;Non;Extension de surveillance et de monitoring global du site
BuddyBoss Performance API;buddyboss-performance-api;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Optimisation de l'API REST de BuddyBoss pour soulager le serveur
Init Umbrella MU;InitUmbrella;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Initialisation prioritaire des agents de monitoring WP-Umbrella
SecuPress Cookie Hash Helper;(secupress_cookiehash_697bbac42d5bd);MU-Plugins Custom schoolsWP;2.3.16;Must-Use;Non;Sécurisation et salage des cookies administratifs
SecuPress Salt Keys Rotation;(secupress_salt_keys_6978cc00f0697);MU-Plugins Custom schoolsWP;2.3.17;Must-Use;Non;Rotation automatique des clés de salage du site
WP Health Handler MU;_WPHealthHandlerMU;MU-Plugins Custom schoolsWP;;Must-Use;Non;Gestionnaire prioritaire de santé système
schoolsWP AI Summary;schoolswp-ai-summary;MU-Plugins Custom schoolsWP;2.1.0;Must-Use;Non;Moteur d'automatisation des résumés d'articles générés par l'IA
schoolsWP AI Summary Languages;schoolswp-ai-summary-langs;MU-Plugins Custom schoolsWP;1.1.0;Must-Use;Non;Support multilingue pour les synthèses IA schoolsWP
schoolsWP Affiliate Cloaks;schoolswp-affiliate-cloaks;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Masquage et redirection avancée des liens affiliés de schoolsWP
schoolsWP FluentCart FR Overrides;schoolswp-fluentcart-fr-overrides;MU-Plugins Custom schoolsWP;1.2.0;Must-Use;Non;Ajustements linguistiques et corrections de taxes françaises pour FluentCart
schoolsWP Header Button i18n;schoolswp-header-button-i18n;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Internationalisation dynamique des boutons d'en-tête
schoolsWP List Cleanup Cron;schoolswp-list-cleanup-cron;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Tâche cron de nettoyage automatique de la base de données et des contacts obsolètes
schoolsWP Person Schema;schoolswp-person-schema;MU-Plugins Custom schoolsWP;1.2.0;Must-Use;Non;Injection dynamique des métadonnées Schema.org (Person) de Michaël KIHL
schoolsWP Tutor FR Overrides;schoolswp-tutor-fr-overrides;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Ajustements linguistiques français pour Tutor LMS
schoolsWP Tutor-FluentCart Bridge;schoolswp-tutor-fluentcart-bridge;MU-Plugins Custom schoolsWP;1.0.0;Must-Use;Non;Liaison directe : inscription automatique à un cours Tutor LMS après achat FluentCart
Advanced Cache Drop-in;advanced-cache.php;Drop-ins (Prioritaires);;Drop-in;Non;Cache de page hautement performant (géré par FlyingPress)
DB Error Handler Drop-in;db-error.php;Drop-ins (Prioritaires);;Drop-in;Non;Page d'erreur de base de données stylisée et personnalisée
Maintenance Page Drop-in;maintenance.php;Drop-ins (Prioritaires);;Drop-in;Non;Page de maintenance automatique et stylisée
